Var1,Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,AP2,DR2,AP3,DR3,noMoleculesFrame,patchSize,Labeled Fraction
0,6,0,15.3461944061238,16.5853812199995,2.21903967753857,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
1,6,0,15.8402066636724,16.7922138025918,2.26169641157461,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
2,6,0,14.2228809619044,15.8294429574837,1.04899778181554,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
3,6,0,12.7597530864802,14.5480720505101,2.96651125010394,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
4,6,0,16.6000779950962,14.289555800117,3.240934935487,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
5,6,0,14.7186305566768,14.0312335977348,1.28979690356777,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
6,6,0,14.4792276761098,13.0680703161089,1.09268334958359,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
7,6,0,13.9754706902309,14.3235831790926,1.12297802178795,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
8,6,0,13.3246377999305,13.995922952093,0.904971759791209,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
9,6,0,13.2899068402603,13.9158192080711,1.43508136009784,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
10,6,0,13.7731498735753,15.0586238380225,2.99852883068905,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
11,6,0,15.1690041547297,15.0105884792861,1.89835423277698,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
12,6,0,13.5785136072313,13.1431157864471,1.10233595531083,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
13,6,0,16.0864186577767,13.7797364053637,1.87168537701711,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
14,6,0,15.0630470009454,16.5706419011517,0.803102250829654,0.12660498610692,9.90050703651742,0.135022483281023,4.30566498500912,0.0753222156065474,2.58463722453992,202,4.51696750576151,0.477441684993672
