Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,AP1,DR1,AP2,DR2,noMoleculesFrame,patchSize
5,0,16.440732623854,24.5032442402429,0.0348838612845397,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,16.6985059869391,70.2384771184856,0.0419088106293384,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,15.5282638186853,76.4143280485837,0.0273679713605869,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,16.7668217650012,21.52902017052,0.0208509454345632,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,16.7377733191469,31.4985963170588,0.0175197096180562,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,19.0783518346454,26.0613197320609,0.0471113259286015,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,19.2000630024557,42.8979903516303,0.021400524971761,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,18.3123992669432,60.2440610797234,0.0684821844734692,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,21.6224478312481,33.4648604308597,0.023092060287373,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,22.8998111009569,22.0875658809401,0.0208046289229369,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,21.321432672012,36.1595608679497,0.029809657666878,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,23.9705667795443,63.882021460411,0.0666524307584008,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,24.4129382658928,45.8125388717671,0.0624176217135106,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,24.0536387377574,53.1716056957719,0.0506341536598144,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,22.9792215315075,60.5913913579692,0.0465437698577244,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,27.4716574630833,71.4936921336593,0.0351430414724124,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,28.1724623490337,21.2559072298207,0.0565529369773744,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,33.3783501905727,26.9070753000921,0.048044162976654,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,25.5611279064374,50.1162126140623,0.0203988245363991,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,29.2316182803378,31.767988775629,0.0147874506239684,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,26.9251808803364,73.7134795095827,0.0267928276474506,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,30.7855446601199,16.7468567270173,0.0571014602668817,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,28.5789861737168,40.1748277367714,0.0194938498152017,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,35.0065025262766,24.6379876610162,0.0333458926435951,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,35.2828284438958,48.1575376336978,0.0405855842511381,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,36.3716328504689,36.7820842038579,0.0255006231793053,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,36.1743668452533,32.7120456645874,0.0227083733170795,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,36.9964283531133,80.1590230998955,0.0269857922857549,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,34.3910021278181,50.0549090372868,0.0217534663600023,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,36.0865223772934,49.9215318115904,0.0233695457371717,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,37.3527194006571,19.1371004179379,0.0408271338326231,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,40.0882365983058,66.7539328273383,0.0357758340594724,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,42.6584523757645,40.0399150967541,0.0374603582917022,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,44.8506666702995,49.6286898826048,0.0277628145207184,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,40.3185977909509,42.4521326849255,0.031832900747502,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,45.3815208797992,46.5924171481663,0.0636078448678104,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,42.8132296837588,65.2294560210815,0.0366742642580465,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,40.7235425513853,16.9238177130279,0.0458413841146312,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,43.8071436251508,37.7768205805939,0.0370146925401668,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,44.442520943609,63.6794115266927,0.0186833633215749,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,46.0936242248297,23.4565739085767,0.0209518641872373,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,46.4405087820312,80.6873524912295,0.0271401719221375,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,45.8292374502123,17.2639171044112,0.0473942587581131,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,44.1389772391722,30.3086124732458,0.0417027174674344,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,44.3550665578732,84.3041438240102,0.0259775693618024,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,47.8229046118954,60.8213711014509,0.018503218148268,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,48.6483819642959,75.0538943966778,0.0438508542504353,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,52.6334623346559,17.3293782265418,0.0500244073348981,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,52.5137108241616,66.2065165965347,0.042646146595272,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,52.3634302596987,18.8213580642306,0.0221339463345204,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,55.6545233402107,51.7864344088349,0.0327228681300353,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,49.9893281085177,46.0243156648899,0.0142314014856271,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,59.0812084725372,75.4579244792596,0.0684490361671237,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,60.9501844027545,84.5469923001098,0.0168063062563008,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,63.2398000106636,20.4848616642922,0.0177244525432775,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,68.2076652131118,84.4401341987218,0.0214474351809585,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,62.0364743808931,48.6554066237825,0.0418248657071251,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,61.1713437790815,36.9986789303841,0.0409103091968073,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,64.4583406154478,77.4414468999591,0.00818447725117582,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,64.9844183474262,20.7832682928284,0.0196245123096129,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,65.2295331568448,74.8319854369408,0.0145434981567745,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,66.6803412981178,72.1814011822537,0.0196444285687704,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,65.9091929136539,55.9012839857319,0.0172270551316224,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,69.7683920188563,83.7792636547365,0.0362908018616864,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,69.7250395374056,27.1573663732658,0.0326410607677727,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
5,0,68.4245083151626,40.6520508143164,0.0136565649027459,0.261341150386766,6.16440804789159,0.117287922935784,3.85009384563286,0.12306501942617,4.91166180279864,202,5.72440029386331
