Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,AP2,DR2,AP3,DR3,noMoleculesFrame,patchSize,Labeled Fraction
0,0,15.0935267114254,61.5011669717549,0.037448062927151,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,19.9118567308369,47.1771467648021,0.0176447099392361,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,17.7647971949948,56.6272297219183,0.0228732096904973,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,21.1725257932303,42.0968664008837,0.0371951227547645,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,24.7654471133813,67.6228911502272,0.0375591515762301,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,23.962343455998,30.3891518405837,0.0161356976143559,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,24.5009482703064,50.5669893094378,0.0183456625049317,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,23.7160384418501,53.7777475779806,0.0306697626047616,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,25.8302262562189,42.4322604834795,0.032925370742461,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
0,0,23.8866424769795,48.2646800632751,0.0296200082012632,0.129494375641595,8.17243239362647,0.192706057368685,0.277375049034633,0.0807938744341882,0.673425138765986,202,4.9716439254318,0.362779075887427
