Var1,Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,AP2,DR2,noMoleculesFrame,patchSize,Labeled Fraction
0,1,0,17.6486989564263,10.8445892970885,1.17090819235587,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
1,1,0,16.8990009698665,19.6851590131884,1.05931521392639,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
2,1,0,13.1509507049612,19.6042350441137,1.17041759976441,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
3,1,0,18.4483818222605,18.6385829202493,0.883049707350354,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
4,1,0,12.0264975368859,9.58891339791574,0.899630757032474,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
5,1,0,15.8438325689229,10.0359340175504,1.06582344966201,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
6,1,0,12.6806027574136,11.3483549252364,1.28974238954793,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
7,1,0,18.6445490115179,20.0997517880622,1.12179830758347,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
8,1,0,13.6634416304288,17.4867108228519,1.23349379987036,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
9,1,0,20.5162236738261,19.8934003611814,1.17676788700447,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
10,1,0,17.4175554461145,9.69250665383177,0.900502347336278,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
11,1,0,9.96391809640669,13.975446994415,0.778348792474565,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
12,1,0,13.9671681625928,16.1038357152984,1.00878891219521,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
13,1,0,11.1647286719493,10.5309562997569,1.13974537834373,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
14,1,0,9.65043467409048,11.5012512225825,0.926948917778897,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
15,1,0,16.4588824467455,15.3190077968307,0.970027341012054,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
16,1,0,17.7413679053037,16.9456030247544,0.61193717195543,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
17,1,0,16.4555196080581,16.7311045182415,1.01340829346168,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
18,1,0,17.5296396943021,10.8023645255335,1.11015127573264,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
19,1,0,17.8772968270858,9.32351365431908,0.943167721456426,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
20,1,0,15.8565124598285,18.3553885406492,0.707307590672635,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
21,1,0,14.2159850387859,15.9694142439859,1.05787988078058,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
22,1,0,19.1550623846118,17.7326521003169,1.23034046884851,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
23,1,0,9.38591729947216,12.2340493224434,0.491246662192556,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
24,1,0,11.2962113171458,17.9349150137078,1.05384952102721,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
25,1,0,16.5815466636575,13.1135906708367,1.00751360445467,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
26,1,0,12.5827225980772,11.4303759217007,1.01452484751665,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
27,1,0,11.1704479965055,19.5176245613,1.09226644378623,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
28,1,0,15.8101856010074,20.1963713966342,1.24775114668049,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
29,1,0,14.1456757987021,15.1380675606898,1.15834530651348,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
30,1,0,18.3971638944501,20.0204536218816,1.03114704859533,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
31,1,0,12.7364242966294,17.9280766105205,1.00575608610908,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
32,1,0,13.160584746212,9.1751720598334,1.07399688995455,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
33,1,0,12.5828635923998,15.7764454779963,1.27171736008323,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
34,1,0,18.7964523994036,19.5180062968824,1.06301418991439,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
35,1,0,20.7644153016651,9.14814463672288,0.979309926549008,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
36,1,0,14.6032482173413,20.4990836480863,0.616669900908441,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
37,1,0,10.4207987470813,13.723732893479,1.37136247125012,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
38,1,0,16.3649034231841,18.3966294519625,1.18202100751937,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
39,1,0,11.4486537381646,11.7547359879081,0.924658916743162,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
40,1,0,16.4723104651139,20.6455304679193,1.20801473131703,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
41,1,0,20.1693359450942,13.9114316956167,0.877552560957302,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
42,1,0,17.1762993678273,11.6199566488019,0.679577689495922,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
43,1,0,12.2361407531847,11.9247711183151,0.772491608424209,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
44,1,0,13.2531084228426,15.4669519359595,0.645572952784916,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
45,1,0,20.652326353186,14.2395203134437,1.07999035577779,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
46,1,0,12.8503226856698,13.2175872042027,0.730894872510316,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
47,1,0,19.3376083649046,12.275386144587,1.04231571586229,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
48,1,0,9.30378196455332,18.1096415173174,0.981537215700466,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
49,1,0,12.5649079038176,15.2948293698137,0.914907366212602,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
50,1,0,14.2740560253232,20.2918815077286,1.01721135285896,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
51,1,0,9.88549587112645,16.6071721946257,0.952752721168323,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
52,1,0,15.6209668933207,19.8624701528296,0.935979745439644,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
53,1,0,20.7938598768885,18.9713771155843,0.963134221798436,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
54,1,0,12.5055222834613,13.075239093389,1.10763768526098,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
55,1,0,11.5738842233635,19.7484596964217,0.837873933604967,0.237833810939346,1.42140240678454,0,1,201,11.8915784546758,0.499904348799109
