,Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,Association Probability,Dissociation Rate,noMoleculesFrame,patchSize
0,0,0,16.0077088262393,13.5273784131064,1.07502000544549,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
1,0,0,16.956017411564,17.9235304581251,0.841041285116248,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
2,0,0,13.2124613882696,16.2320725097608,1.08140326851055,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
3,0,0,15.2442361139464,18.6355160392746,0.985054868922147,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
4,0,0,15.0360074042744,14.6373030384899,1.15379175130232,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
5,0,0,13.6323841369551,16.7764146426478,1.00268128965265,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
6,0,0,12.8849700824645,13.9227144578905,0.7572901754151,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
7,0,0,12.8131627079952,16.1363009413517,0.983905595362937,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
8,0,0,16.6241302826108,12.6582485195203,0.852050904931024,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
9,0,0,13.3196930297679,15.6533747476929,1.0721604497439,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
10,0,0,14.5202045584963,17.1226996528386,0.833838776811829,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
11,0,0,11.9186871664477,12.6233289194143,0.51751339207256,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
12,0,0,13.4291572479333,18.7856769359731,1.1732678448547,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
13,0,0,18.461534873585,16.7942983434637,0.948415784706281,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
14,0,0,14.2976073729114,16.6775622023608,0.705209466369332,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
15,0,0,14.2326546715336,16.1775170538539,0.814543524285822,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
16,0,0,17.2579957750294,15.2265622278384,1.39426748207722,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
17,0,0,14.6705115436631,17.3590265821866,0.522955507016743,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
18,0,0,12.0903880473701,15.4789084219394,0.977162573083756,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
19,0,0,11.3442712789554,16.3480620926548,1.07192004533771,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
20,0,0,11.1945560002245,13.9796687799211,1.16780955517441,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
21,0,0,12.9655712391867,18.5915856721432,1.05203305630782,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
22,0,0,16.4119367142799,11.1670934361576,1.1720569834054,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
23,0,0,15.225096457105,15.0108890691009,0.946368624255492,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
24,0,0,11.1275125935068,12.9248490997054,1.02269828468919,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
25,0,0,12.6972462614516,18.5784597556838,1.21831094797228,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
26,0,0,12.8983490705019,14.3702757494271,0.825939594998629,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
27,0,0,18.1818343718998,14.4205164686294,1.08607214501901,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
28,0,0,16.826571512147,17.0034953915072,0.857186056633436,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
29,0,0,12.1729402274896,16.8969430318907,0.970591301279852,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
30,0,0,17.4934499606201,12.7199009170733,0.695039429692334,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
31,0,0,13.7954052907763,15.6395143886945,1.36894818806177,0.0119775220704328,2.99056983476169,0,1,201,8.198248052534174
