Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,Association Probability,Dissociation Rate,noMoleculesFrame,patchSize
8,0,17.6425347158756,31.5084719557237,0.021583278381223,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,17.9365444265387,115.550493986727,0.017264275920325,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,21.2221876564698,44.2641538465149,0.0184540892181869,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,27.7190811209489,94.921118985306,0.00811234386055353,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,33.4898115003474,130.593478338039,0.0114720766609044,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,30.8043828529461,35.5631154910771,0.0187961729892592,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,31.772367054792,132.322709299583,0.00739537310661701,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,33.8352153906344,45.5246896662459,0.0201304927960231,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,36.9133426124983,37.6888573285762,0.0157760518080309,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,37.458949483347,110.370536973324,0.0163684899943279,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,38.9696372763333,54.8809561515126,0.0113529918972553,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,44.2439533086609,88.8139291453315,0.00701664300687799,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,48.781995491067,34.2252213530088,0.0140962615762039,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,48.6625111315808,96.3072707653954,0.0209704652981468,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,51.4952371920868,118.682238000099,0.0199591885636545,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,52.4231158488778,134.597969313228,0.0209303081098742,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,61.0545861629479,60.5803272434615,0.0087086108573397,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,53.4590186676676,67.1668545746562,0.00444135167241204,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,58.881149831214,57.8650666152844,0.0203856237333356,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,61.9382373178338,63.1976601018358,0.0193296093840586,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,62.1828568968601,31.7209534342193,0.0161068915624033,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,65.2795784148252,123.707948044226,0.0212369203301649,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,65.1782752327581,89.8393645964273,0.0152536603055046,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,65.9498167297618,114.135824952921,0.0160411084722575,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,67.1670856978463,132.146369354534,0.0040294971945798,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,72.7060917615335,131.455914909966,0.0200950104544629,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,74.4577292325896,15.128310897211,0.016824266600026,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,76.5981633640415,30.6492384501982,0.0220105343649268,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,79.639912531782,35.4438208556105,0.0113358303225257,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,81.1325920180037,71.7386094606335,0.0178537359026727,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,79.6645584869878,37.3381851757788,0.0110233385706421,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,79.5382940062595,72.9311217304852,0.0192579357777595,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,81.3650272837397,116.192597882122,0.0171541304198773,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,80.830600378535,137.059950527552,0.0336323006418894,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,89.178545618495,24.5312157534021,0.0199368764225972,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,88.0657174247157,51.2402286294106,0.0258686167497374,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,91.6941362602159,23.7636331466096,0.00933045584804698,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,92.6663677092962,52.8781384373617,0.0267509662179248,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,99.3052500363775,16.5142044986545,0.0291183149657277,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,94.6626571126141,73.2400863036765,0.0139649388837287,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,96.0219040536889,25.194967242211,0.0241114616067874,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,99.6296102201007,82.213148407042,0.0176661358357574,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,99.3854766462419,18.1205301293646,0.0194980317905711,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,101.763642942204,41.8056428066133,0.0153648482121905,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,99.2623429166224,87.0395396428036,0.00806773759057172,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,96.4758535606124,54.2888462107268,0.014778531672942,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,101.449339929233,39.6066282532645,0.00952155044537403,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,100.979201636276,85.5459098318499,0.00774984791444101,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,107.850717123084,70.3308626151271,0.0160788746244409,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,103.500648095974,75.564398853163,0.0153721739012759,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
8,0,102.197840972479,87.5716220940314,0.00619840348934169,0.393501951505097,0.938026967310531,0.0107663097939021,3.32227564756095,94,10.0105114049789
