Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,AP2,DR2,noMoleculesFrame,patchSize,Labeled Fraction
4,0,15.9912254285587,26.7754687994965,0.0372936401765674,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,16.8733101884525,46.7799223350839,0.0301974708647922,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,15.7908234417234,48.9628549810142,0.0237187915705954,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,21.0084384062985,67.55271309888,0.0646182187474247,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,19.5432408088154,55.3120952794035,0.0194312999776025,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,19.1325543884615,23.5607415596669,0.0240355577629828,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,19.0399653556577,52.6204953003816,0.0182449729336893,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,16.7193708181011,35.2513209116856,0.0282923101430732,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,19.3386195857293,38.034423914651,0.0666694040534888,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,18.3219425425563,63.010548363365,0.0201329893931402,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,21.5948761821804,15.8556710184685,0.0367970468385793,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,22.3058229848052,23.5141098847504,0.0463597699742759,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,20.9492543836922,58.4710520635318,0.0243377971652119,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,25.7319007517447,34.1649249257581,0.0314480320898299,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,22.8467264389997,67.8929433558383,0.0509966662381424,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,21.8221699281826,56.5615023310312,0.0280302789977001,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,23.2586636928156,65.4470435714969,0.0303838109214917,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,26.6132126409834,30.9744287711446,0.0169641172750273,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,24.7417472818048,23.4229046378812,0.0358930101480032,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,30.2318088664829,17.445351668686,0.00975010266241363,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,29.4922388243058,32.8106199306881,0.0236434982227796,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,32.234267483322,16.6028159751236,0.0136657058976053,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,38.2525988115294,68.7365699976642,0.0344681809520381,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,34.3022460975441,20.872664457428,0.0316823405240097,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,35.3445466484495,36.8130087493169,0.0209887922492049,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,34.4287975251811,42.2051668445108,0.0525023094364256,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,35.4034056451883,52.1121544728112,0.010908743271144,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,33.5551226594129,54.5626839732419,0.0396476808676622,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,38.0791196570753,50.9984371320378,0.0131048388773443,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,39.505614296697,25.8021600943299,0.0283314108521988,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,40.9163003029298,21.8198100163513,0.05584232389419,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,46.0879320509707,36.9425398814204,0.0115024669553038,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,51.4518460254923,42.1627704224824,0.0195169817094192,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,44.7737350204818,55.1143214713525,0.0262479967389129,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,43.4235471296506,77.128219202717,0.0110487174963011,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,49.4556935253138,46.685689419094,0.0373592131165579,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,51.097203970687,24.8269802445044,0.0226949339123759,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
4,0,53.6662391108374,61.6898806478947,0.0330139888317639,0.423021261259307,6.10377786166042,0.0241016332803957,1.53905571392982,182,5.46054932137819,0.72127057582509
