Var1,Movie,Frame,X,Y,Intensity,Diffusion Coefficient,Receptor Density,AP2,DR2,AP3,DR3,AP4,DR4,noMoleculesFrame,patchSize,Labeled Fraction
0,8,0,12.9408536333912,16.9650507989612,2.67865160797937,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
1,8,0,13.6320398023289,12.8767480425712,3.43407116573714,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
2,8,0,16.4459756423229,14.1765571776007,2.08833056564273,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
3,8,0,15.2385427963179,15.7249979766456,3.16748823407846,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
4,8,0,16.7625932863734,12.854294118967,2.01820720405816,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
5,8,0,16.9625246935488,17.2962199470481,2.0148456607721,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
6,8,0,13.7142346422324,15.9098516485013,2.2017558086285,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
7,8,0,14.9045002808131,17.1618414997063,1.17232894266464,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
8,8,0,14.4114820588985,17.1972424429669,1.01193668728237,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
9,8,0,12.8163924375548,14.6612400521825,1.02687657872466,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
10,8,0,15.0912324975514,15.2206138118534,0.512763519484362,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
11,8,0,14.3439333304146,13.5715637799319,1.12493145740599,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
12,8,0,13.4420268334287,16.6445031735632,2.94539126877051,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
13,8,0,13.7982808043951,13.9688676656594,0.753014613884443,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
14,8,0,15.7523830475556,17.1943443306513,2.23031864050864,0.474221458685058,9.28154361271316,0.198921979049818,3.24044457809864,0.0482207022025546,1.26628120395746,0.0169298377234451,0.917425915364976,201,4.65358792459343,0.198921979049818
